src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(167,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(167,62): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(167,73): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(168,42): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(168,72): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(168,87): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(169,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(169,64): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(169,75): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(170,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(170,70): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(170,84): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(171,46): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(171,76): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(171,93): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(172,42): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(172,65): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(172,80): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(173,36): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(173,59): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(173,71): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(174,44): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(174,67): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(174,83): error TS1128: Declaration or statement expected.
